sector,lever,index,limit,today,interaction,level1,level2,level3,level4
Demographics,How many of us will there be?,0,3,"In 2010 the world's population was around 6.9 billion.  We expect our population to grow, but don't know how much by. According to the UN, by 2050 it could be:",We aren't advocating population control. Just pointing out that we need to be ready for the consequences of different populations. Take a look at what happens to the consequences box as you click on the different population levels.,10.9 billion,9.6 billion,8.3 billion,
Demographics,How many of us will live in cities?,1,3,"In 2010, 52% of the world's population lived in urban areas. We expect the number of people in urban areas to grow, but don't know how much by. By 2050 it could reach:","For comparison, about 80% of people in North America live in urban areas today, about 70% in Europe and about 40% in Africa and Asia. ",75%,65%,58%,This lever only has three levels
Lifestyle,How far will we travel?,2,4,"In 2011, the weighted average distance travelled per person was around 7,500 km / year, however this masks the variation throughout the world. While the yearly average distance travelled per person was roughly 10-12,000km per capita in automobile dominant countries (such as in North America), it was closer to 6,000km per capita in transit-based countries (such as in Europe), and 1,500km per capita in many developing countries.","Passenger demand is very dependent on mode and occupancy. If more car trips are shifted to walking, cycling, transit, rail and 2-3 wheelers through better city design then number as well as distance of trips will likely be reduced. ","By 2050, the yearly average distance travelled per person (urban, non-urban, and airplane) will increase by 180% from 2011.","By 2050, the yearly average distance travelled per person (urban, non-urban, and airplane) will increase by 125% from 2011.","By 2050, the yearly average distance travelled per person (urban, non-urban, and airplane) will increase by 100% from 2011.","By 2050, the yearly average distance travelled per person (urban, non-urban, and airplane) will increase by 40% from 2011."
Lifestyle,How big will our homes be?,7,4,In 2011 the average house floor area for urban buildings is 92 square metres per household and the average services building floor area is 5 metres squared per capita.,,In 2050 the average urban home will have a floor area of 110 square metres and the average non-residential building floor area will be 11 square metres per capita.,In 2050 the average urban home will have a floor area of 105 square metres and the average non-residential building floor area will be 8 square metres per capita,In 2050 the average urban home will have a floor area of 100 square metres and the average non-residential building floor area will be 6 square metres per capita,In 2050 the average urban home will have a floor area of 95 square metres and the average non-residential building floor area will be 5 square metres per capita.
Lifestyle,How comfortable will our homes be?,8,4,"In 2011 the average house inner temperature is 17.5 _ for urban residential, 13 _ for rural residential and 20 _ for non-residential in winter. In summer the average house inner temperature is 26.5 _, 29_ and 23_ respectively. The hot water demand is about 18262.5 l per y per capita",,"By 2050, the average urban house temperature will be 20 _ in the winter and  24 _ in the summer. The average non-residential building will be 23 _ in winter and 23 _ in summer. The hot water demand will be 21915 l per y per capita.","By 2050, the average urban house temperature will be 19 _ in the winter and 25 _ in the summer. The average non-residential building will be 21 _ in winter and 24 _ in summer. The hot water demand will be 20089 l per y per capita","By 2050, the average urban house temperature will be 18 _ in the winter and 26 _ in the summer. The average non-residential building will be 20 _ in winter and 25 _ in summer.The hot water demand will be 18263 l per y per capita","By 2050, the average urban house temperature will be 17 _ in the winter and 27 _ in the summer. The average non-residential building will be 19 _ in winter and 26 _ in summer. The hot water demand will be 14610 l per y per capita"
Lifestyle,How many appliances will we have in our homes?,9,4,"In 2011 the average urban household owns 1 refrigerator, 0.3 dishwashers, 0.8 clothes washers, 0.3 clothes dryers, 1.6 TV and owns 20 light bulbs.",,"In 2050 the average urban household will own 1.4 refrigerators, 0.5 dishwashers, 1.2 clothes washers, 0.4 clothes dryers, 2.4 TVs, 3 miscellaneous appliances and will own 40 light bulbs.","In 2050 the average urban household will own 1.1 refrigerators, 0.4 dishwashers, 0.9 clothes washers, 0.3 clothes dryers, 2 TVs, 2.4 miscellaneous appliances   and will own 35 light bulbs.","In 2050 the average urban household will own 1 refrigerator, 0.3 dishwasher, 0.8 clothes washer, 0.3 clothes dryer, 1.6 TV, 2 miscellaneous.   And will own 30 bulbs.","In 2050 the average urban household will own 0.8 refrigerators, 0.3 dishwashers, 0.6 clothes washers, 0.2 clothes dryers, 1.3 TVs, 1.6 miscellaneous appliances   and will own 25 light bulbs."
Lifestyle,How much food will we eat?,30,4,"In 2011, the global average calorie consumption was 2140 kcal / person / day, with extremes of obesity and undernourishment worldwide in terms of dietary energy intakes.",,"High global average calorie consumption by 2050, based on the current European level (2520 kcal / person / day)",Global average calorie consumption increases at growth rate of past decade to 2400 kcal / person / day by 2050,Global average calorie consumption rises based on FAO trends (to 2140 kcal / person / day by 2050),Global average calorie consumption meets a healthy diet by 2050 (2100 kcal / person / day)
Lifestyle,How much meat will we eat?,31,4,"The current global average meat consumption is 212 kcal of meat/capita/day (excluding meat losses, 10% in energy terms), but growing income in developing countries tends to stimulate an increase in meat consumption. ",,"Very high global average meat consumption by 2050 (309 kcal / person / day), which is the 2011 average meat consumption in Europe, with 75% red meat and 25% white meat by 2050.",World  global average meat consumption would be stabilised (212 kcal / person /day). Assumes a share of 60% red meat and 40% white meat by 2050.,"Low global average meat consumption by 2050 (162 kcal / person / day), based on the WHO reference for a healthy diet (90g a day). 60% white meat and 40% red meat. ","Extremely low  global average meat consumption (15kcal / person / day) akin to the Indian level in 2011, including vegetarian diets and meat alternatives. Assumes a share of 25% red meat and 75% white meat by 2050."
Lifestyle,How much stuff will we buy?,13,4,"Demand for products leads to the production of 8.4Gt of materials, that is: 1.5Gt of crude steel, 0.1Gt of aluminium, 0.7Gt of chemicals, 0.6Gt of paper, 0.8Gt of timber, 1Gt of other materials, & 3.6Gt of cement","Product demand is defined by the activity in the other sectors whenever possible (e.g. amount of buildings, infrastructure & transport demand are defined in their respective sectors).Product demand is defined by this lever when there is no link with the activity in the other sectors (e.g. packaging & paper demand are defined by this lever)This lever also specifies the lifetime of all the consumer products (and therefore the need for new products to answer a specified stock requirement at a given time).","By 2050 the demand for consumer goods per head increases, with product demand correlated to GDP projection. Buildings, infrastructure & transport product demand are defined by the other sectors and transport lifespan is unchanged from 2011 levels. There is no development in product reuse nor recycling.","Consumer product demand per head reaches worldwide current EU levels then flattens. Buildings, infrastructure & transport product demand are defined by the other sectors and transport lifespan incrreases 10% from 2011 levels by 2050. Consumer goods stabilize.Moderate development in product reuse and recycling","Consumer product demand remains constant (increases in some parts of the  world balances decreases in other). Buildings, infrastructure & transport product demand are defined by the other sectors and transport technology lifespan increases by 20% by 2050 from 2011 levels. Significant development in product reuse and recycling","Consumers buy fewer goods (e.g. they are higher value but less resource intensive). Buildings, infrastructure & transport product demand are defined by the other sectors and transport technology lifespan increases 30% from 2011 levels by 2050. Consumers goods decreaseProduct demand not correlated to GDP increase."
Transport,Freight distance,3,4,"Freight demand, expressed in freight tonne-kilometres shipped, depends on the quantity of goods as well as the distance they are shipped. In 2011 this number was 65 trillion tonne-km. Future growth depends on GDP growth, growth in demand for different types of goods, as well as where goods are produced versus where they are consumed. ",Freight demand’s impact on reducing CO2 emissions is highly dependent on vehicle load factors and the modes by which freight growth is accommodated.,"By 2050, freight tonne-kms increases by 140% from 2011.","By 2050, freight tonne-kms increases by 100% from 2011.","By 2050, freight tonne-kms increases by 80% from 2011.","By 2050, freight tonne-kms increases by 40% from 2011."
